time_s,n,cross_track_p05,cross_track_p50,cross_track_p95,cross_track_min,cross_track_max,altitude_error_p05,altitude_error_p50,altitude_error_p95,altitude_p05,altitude_p50,altitude_p95,est_pos_error_p50,est_pos_error_p95
32,64,-11.1678667,5.64486466,23.0339505,-22.991825,35.6383723,-1.1853234,0.277432256,1.30173151,148.668252,150.277432,151.301732,0.849855528,2.04698289
33,64,-10.5672494,4.92629515,19.2844444,-17.545435,31.0267491,-0.912111098,0.277772823,1.20410627,148.768606,150.277773,151.204106,0.906872716,2.0833987
34,64,-7.79437753,1.20709003,22.6852031,-11.6922823,36.0202543,-0.766308668,0.386353763,1.04648992,149.219311,150.386354,151.04649,0.909528715,2.19169051
35,64,-13.0249561,-1.3323632,14.1797179,-14.7086206,34.1937138,-0.366126284,0.26563333,1.02973825,149.527114,150.265633,151.029738,0.943960977,2.30887133
36,64,-15.7976363,-1.19550832,13.4031471,-18.7550787,30.9165772,-0.613894933,0.217348082,1.057373,149.386105,150.217348,151.057373,0.946459474,2.24113287
37,64,-14.6850097,-2.08070445,10.6093266,-32.0787591,19.5018905,-0.597116593,0.216085112,1.02712423,149.402883,150.216085,151.027124,0.962113777,2.15992887
38,64,-9.83739177,-0.741939428,8.19826094,-65.0096753,11.6170862,-0.642856208,0.24046183,1.17909712,149.357144,150.240462,151.179097,0.935084504,2.2953855
39,64,-13.8826876,0.815138354,36.6007575,-93.4550078,41.0120751,-0.770657325,0.126599058,1.20189781,149.229343,150.126599,151.137381,0.985754616,2.18093685
40,64,-10.0043488,1.13180231,13.2399712,-115.763217,28.6762077,-1.00285573,0.101722813,1.71015785,148.939553,150.042746,150.957125,0.947563056,1.99667371
41,64,-14.8847405,0.698671118,5.78356938,-131.598124,29.6977377,-1.18876293,0.0553803526,1.77543466,148.2056,149.939215,150.97812,0.946636316,2.01281854
42,64,-36.0150818,0.649993927,13.7392241,-139.904357,40.3347925,-1.02449498,0.0352675668,1.54262895,145.965782,149.853885,150.611328,0.979974013,2.09944137
43,64,-46.4534402,-0.185427715,7.41000488,-140.595814,34.3821585,-1.06117036,-0.030218497,1.4459502,144.239808,149.801224,150.730733,0.992439649,2.08462046
44,64,-52.927533,-0.333163027,25.3667363,-134.561151,37.4203214,-1.31634584,0.0644082425,1.50443209,142.500552,149.675511,150.865839,0.987686208,2.18552213
45,64,-55.9976996,-0.741123014,14.6861045,-123.559757,38.6719185,-0.932932158,0.0396108067,1.45610479,140.427963,149.620536,150.880858,0.969784081,2.19864159
46,64,-59.4428376,-0.260116859,30.6714395,-119.706337,35.3438286,-0.89530191,0.0656683249,1.29333295,138.590081,149.538815,150.843958,1.00653875,2.28475515
47,64,-51.6444453,-0.0384547271,11.435488,-117.670382,21.6102096,-0.904536689,0.0790733703,1.4499785,137.488662,149.225839,150.677779,1.0421044,2.28577354
48,64,-61.3525209,-0.857355845,32.5209724,-109.436216,37.757699,-1.10232742,0.300115682,1.44763997,135.696507,148.776629,150.665033,0.984461997,2.3862001
49,64,-66.1934613,0.0402311415,16.6403428,-96.4189439,39.3767553,-1.02553047,0.379801247,1.36086294,134.056953,147.70425,150.61009,1.03097482,2.52392824
50,64,-62.3642528,-1.10844845,20.1960796,-81.2002765,40.4682327,-1.04844207,0.321555244,1.6481188,132.266254,145.481875,150.575129,1.02026116,2.34326636
51,64,-64.3809565,-3.05534583,14.7306803,-81.583599,30.6554017,-0.873788941,0.28509574,1.66500119,130.524837,143.290509,150.334582,1.07757742,2.35945283
52,64,-55.7136487,-3.73543991,6.08470311,-84.3621917,20.085648,-1.11198772,0.395042293,1.8375785,128.097131,141.718923,150.112334,1.02046658,2.42076326
53,64,-60.4715702,-2.11431812,7.70879532,-85.8246703,37.2621836,-1.18727444,0.332052091,1.57552333,125.744385,140.543312,150.08815,1.05843512,2.33673313
54,64,-46.6318493,-0.510473952,8.83997085,-78.6872366,19.0278787,-0.932015145,0.36499369,1.65047333,124.074886,138.421203,150.0938,1.05161654,2.31467959
55,64,-52.8662457,0.0271071555,10.341516,-72.2667762,14.2223673,-0.965302213,0.208452686,1.88226828,122.037471,135.880786,150.006534,1.16774001,2.3632736
56,64,-48.8342766,0.379097564,13.4970292,-62.6051132,15.8680255,-0.814527182,0.197915417,1.78199844,119.874312,133.959865,149.898959,1.23644492,2.39385095
57,64,-28.8078674,0.67841121,16.1537229,-53.1854133,24.9471839,-0.877180733,0.149702797,1.43416003,117.706263,131.995374,149.80285,1.22953113,2.45346022
58,64,-12.3718394,0.232493475,15.3365692,-42.698494,37.0564395,-0.779190181,0.239806437,1.41765266,115.793818,130.182513,149.680023,1.25668802,2.51319566
59,64,-12.6686278,0.169927928,18.8957224,-26.5086652,39.5176809,-1.00654608,0.292555222,1.83395213,113.864509,128.326785,149.420437,1.26205328,2.39236067
60,64,-8.11631765,-0.238528538,23.9078375,-31.6810058,31.1725486,-1.19862729,0.263857827,1.51366141,111.546158,126.566896,149.089353,1.16617267,2.51617773
61,64,-14.4189863,-0.443376403,16.3204459,-40.3061073,31.0607841,-1.53701511,0.115174031,1.24411532,108.808175,124.782429,149.04156,1.16838859,2.53608063
62,64,-18.7390007,-0.361379438,22.4987151,-42.8654228,32.9349355,-2.68262227,0.163365664,1.42079041,107.317378,122.713399,148.558317,1.26081617,2.43227504
63,64,-22.8982921,0.187174165,26.2051918,-38.1398283,31.7567886,-1.79986481,0.16859467,2.00244648,108.200135,120.67897,146.760573,1.28408837,2.66671685
64,64,-17.5020224,0.668402897,25.8924302,-41.4851642,42.8194472,-2.67545398,-0.0140483856,2.82913687,107.324546,119.20645,144.426414,1.27234393,2.72304819
65,64,-10.4417075,0.850569726,13.2179795,-42.2132954,39.7569991,-3.50637193,-0.159176908,1.24249825,106.493628,117.769907,141.984453,1.30560346,2.80766553
66,64,-22.3751862,0.57431846,30.5081293,-38.9563631,36.7670641,-2.76096735,-0.12894043,2.66445773,107.239033,115.701992,139.953288,1.29578314,2.80216605
67,64,-16.9902301,0.876168976,16.4202875,-53.7046757,24.3133057,-2.79645903,-0.375689823,1.42802958,107.203541,114.066341,137.767552,1.23968999,2.66582786
68,64,-19.1151679,1.98465397,28.1160703,-78.3449609,32.8714994,-3.00032089,-0.320981282,2.58305074,106.999679,111.884436,135.083294,1.22177569,2.73666092
69,64,-21.0463573,1.58918363,23.9525321,-96.6021892,31.2309045,-2.9126192,-0.620020018,2.49328428,107.087381,109.654291,132.709374,1.16128207,2.81811911
70,64,-37.9792234,0.746153409,13.9073282,-106.997836,22.9509866,-3.47796205,-0.799109008,1.11886447,106.522038,109.306874,130.950924,1.17852341,2.84181497
71,63,-47.3050975,-0.0222077581,10.5028844,-109.928636,33.8270445,-2.80895832,-0.849030529,1.16738529,107.191042,109.303874,128.904498,1.18260758,2.97299049
72,63,-49.4570991,0.270770877,18.2192443,-105.78426,33.173021,-2.21137498,-0.530091813,1.26328152,107.788625,109.481989,126.378829,1.2150215,3.05424174
73,63,-40.3697658,0.652807376,8.71698682,-96.4704977,14.6154077,-2.03177781,-0.426664754,1.13647336,107.968222,109.735217,124.184416,1.19841482,3.19361184
74,63,-25.7720343,1.00032328,6.43243058,-83.5951024,26.4155518,-2.06651287,-0.372107831,1.2225245,107.933487,109.67429,123.011575,1.22430147,3.10239111
75,63,-17.2475176,1.55499342,8.74413848,-70.4281926,19.1909363,-2.14722303,-0.338191905,1.06798245,107.852777,109.849577,122.205798,1.28416053,3.04912916
76,63,-18.2635852,1.11469793,7.01054488,-57.9961522,8.53737401,-1.83057046,-0.433412482,0.888235673,108.16943,109.693696,120.971313,1.36612471,2.7755239
77,63,-14.2065851,0.82720577,8.9636715,-45.8251537,31.6464541,-2.14745316,-0.353770443,1.33355801,107.852547,109.836135,119.284375,1.42673703,2.6453075
78,62,-8.34225645,0.717679893,9.70309239,-37.5435614,29.8570739,-1.67268681,-0.395228005,1.56375785,108.327313,109.663121,118.549148,1.43005099,2.76393901
79,62,-9.7527453,0.325689932,14.6306784,-29.6062148,31.7491538,-2.16500318,-0.214942997,1.36380294,107.834997,109.785057,117.866831,1.50200466,2.88756519
80,62,-14.7397676,0.310037536,9.14061842,-32.3501702,24.2526199,-2.31689434,-0.200158789,1.21409428,107.683106,109.861329,117.510992,1.45809088,3.10323013
81,62,-7.52114455,0.214963147,9.67567318,-30.9735482,28.5417289,-2.02590328,-0.218422768,1.37755035,107.974097,109.802173,116.50151,1.51347716,3.01684565
82,62,-9.863482,0.348446097,8.42278009,-26.4694944,18.4402078,-1.46524537,-0.205886402,1.12818132,108.534755,109.800031,114.700341,1.61075163,3.34728041
83,62,-7.70586277,0.538950365,12.4801833,-20.6195002,26.1204162,-1.26222763,-0.16705544,1.21938731,108.737772,109.865308,112.449153,1.58355571,3.54022542
84,62,-5.0434519,0.54800854,10.5008344,-13.054391,22.1788755,-1.24834527,-0.101946417,1.16609437,108.751655,109.93805,111.548845,1.64251062,3.60621013
85,62,-2.81455206,0.478116854,9.03050044,-8.67610286,14.6441014,-1.69868468,-0.157298766,1.16753519,108.301315,109.874958,111.388652,1.65499942,3.47005316
86,62,-4.30299595,0.364420498,8.20378061,-5.06789229,18.1389268,-1.45938537,-0.152162915,1.22007197,108.540615,109.859468,111.676587,1.6181507,3.54252633
87,62,-2.59152529,0.262012017,14.9839866,-5.95628032,29.3078674,-1.43982719,-0.0828096252,1.32545308,108.560173,109.91719,111.539845,1.575149,3.57192149
88,62,-1.4051145,0.293529335,14.9322073,-12.5820565,37.345104,-1.68241796,-0.245020385,1.43687587,108.317582,109.75498,111.4575,1.5320892,3.74959742
89,62,-2.13990592,0.21869778,20.779497,-14.5218313,36.8091069,-1.59422422,-0.207120668,1.47208751,108.405776,109.792879,111.517652,1.52179819,3.787378
90,62,-8.15025632,0.223887023,7.84422682,-23.0691832,24.6166557,-1.52679771,-0.341426961,1.33667144,108.473202,109.668418,111.445695,1.50474001,3.83835377
91,62,-10.7600583,0.286612335,31.2101974,-24.0805914,35.4572797,-1.65948338,-0.301709384,0.833603426,108.340517,109.846743,111.486144,1.53650631,3.70177446
92,62,-12.6220491,0.470194459,31.1865664,-23.1046373,35.4164344,-1.57812005,-0.382429879,0.781017873,108.426507,109.758036,111.582468,1.4741879,3.73439406
93,62,-8.07761021,0.179266407,25.4956757,-34.5395665,32.0288459,-1.51517748,-0.431001893,1.07487242,108.487412,109.973316,112.412646,1.47622555,3.30930283
94,62,-13.6841675,-0.0944688629,17.8673158,-38.0057161,38.170071,-1.87216993,-0.343463941,1.10840179,108.800067,110.005295,113.560696,1.45831237,3.27840607
95,62,-14.6150184,0.264628476,22.1549115,-34.5903714,27.7048506,-2.09572129,-0.498077367,1.23704959,108.921767,110.282785,114.352661,1.46429757,3.32108305
96,62,-18.6921707,0.16908786,12.5215453,-24.5717261,41.8169054,-1.76229741,-0.390725484,1.29185786,108.792055,110.342385,115.133808,1.46784828,3.40774137
97,62,-16.7456012,0.227067058,24.0199987,-45.5299811,32.2681347,-1.51293977,-0.350176226,1.09542833,108.926111,111.007485,116.313034,1.44521295,3.41350164
