index,seed,ok,mass_kg,inertia_scale,cl_alpha,cm_alpha,wind_speed_mps,wind_direction_rad,w20_mps,density_scale,sensor_scale,init_altitude_offset_m,init_airspeed_offset_mps,init_yaw_offset_rad,simulated_time_s,rms_cross_track_m,max_cross_track_m,rms_altitude_error_m,max_altitude_error_m,rms_airspeed_error_mps,max_bank_deg,max_alpha_deg,laps_completed,waypoints_reached,estimator_position_rmse_m,estimator_velocity_rmse_mps,estimator_attitude_rmse_deg,estimator_yaw_rmse_deg,final_gyro_bias_error_radps,final_accel_bias_error_mps2,min_cov_eigenvalue,wall_clock_s
175,7.583439e+18,1,14.2205919,1.03022893,5.16382368,-1.42867061,5.41624566,3.00347132,5.68352998,1.02427372,0.784213894,-0.863018961,1.23100816,0.231758415,299.996,13.7347161,62.1898684,0.699077385,4.07823013,0.652904795,39.6669393,9.8548155,2,12,1.29431267,0.187287681,0.78044534,0.67501402,0.0005576632,0.0663071154,2.22194e-06,2.35716656
176,2.83217036e+18,1,14.5502107,0.984626895,4.40385805,-1.30656712,1.31462893,2.78053378,3.63558614,0.971838083,0.875322662,3.26217729,2.38583557,0.0236638998,299.996,11.0055565,41.2212772,0.800839114,4.46589561,0.626589194,39.4591492,12.6832427,2,13,1.78590513,0.148421098,0.744969383,0.650603258,0.000483725489,0.0657256781,2.22188903e-06,2.33068327
177,1.71550019e+19,1,14.8220711,1.04258868,5.15612884,-1.12266915,4.88222089,-2.78128188,12.1458886,0.986318738,0.949479902,17.981212,-0.380029258,0.0769672403,299.996,14.9147665,60.0453893,1.02638273,4.67841,0.944654987,40.6330645,12.7964645,2,12,1.80191055,0.3787339,1.93447084,1.69068392,0.00356120746,0.242958668,2.22226294e-06,2.32447217
178,2.99472831e+18,0,14.858323,1.01027098,4.19641942,-1.37244682,3.97938147,1.58532355,8.67042137,0.942748075,0.814978848,-6.58656866,-0.753493027,-0.120463177,212.528,18.3123459,64.2898977,13.9416918,105.982784,1.68601245,38.6388579,26.8383398,1,9,1.55637776,0.268665766,2.04664819,1.25687057,0.00352663708,0.248883629,2.22202041e-06,1.63115807
179,1.25765263e+19,1,12.1989861,0.935960561,4.42804302,-1.13761537,7.1880392,0.345131808,1.13399884,1.01838297,1.39112006,2.06384872,1.84367825,0.536816296,299.996,17.0849342,89.0573668,0.830052461,4.30772783,0.773758143,41.7643827,9.66188946,2,12,2.51606147,0.151056437,2.28785677,0.960607422,0.00427621639,0.556019651,2.22162466e-06,2.30504873
180,6.20605706e+18,1,13.907205,0.953391286,3.53094377,-1.34756397,2.30733231,1.64204178,6.59732604,1.10124079,1.00021116,1.69947668,-2.38479879,0.00277430596,299.996,16.8738469,75.2652131,0.814338764,3.70354476,0.823925289,40.1668385,12.6336533,2,13,0.86685195,0.240442496,1.59403561,1.15499963,0.00256537957,0.146846807,2.22229462e-06,2.40332676
181,6.18174962e+18,1,12.7915339,0.969304009,5.21015423,-1.61865635,4.54675918,-2.37548082,8.20446237,1.05746849,0.787838267,15.5418926,-3.29529002,0.352036559,299.996,16.0775462,76.5399153,0.876447737,3.25147319,0.653113565,39.8477376,10.0356746,2,12,1.12153858,0.27608542,1.41192617,0.949699137,0.000444082337,0.18550815,2.22196379e-06,2.32073102
182,1.41651102e+19,1,14.2478196,0.961751118,5.22873044,-1.02085089,0.742697595,-0.320220139,6.37145503,0.930504493,0.779555311,10.5385248,0.101186597,-0.276689616,299.996,10.7138634,41.2819084,0.743945391,4.11887994,0.72917649,40.4417386,12.8300193,2,13,1.23639446,0.221158469,1.21744856,0.780486466,0.000852342259,0.0471621393,2.22255674e-06,2.28549306
183,7.36264479e+18,1,13.4835278,0.824570245,5.42072013,-1.15266814,6.9977328,0.664423997,6.28615447,0.95226993,1.44284326,-1.80448291,-0.229127691,-0.435956443,299.996,13.5168274,65.4164962,1.68457986,5.53232004,0.706511821,40.3684922,11.307514,2,12,3.83344944,0.249700421,2.4556409,1.43671324,0.003010311,0.252421366,2.22168944e-06,2.28664224
184,1.44278759e+19,1,13.6685586,1.03386113,4.94100451,-0.897115075,5.84070382,1.54887478,8.8764928,0.964069753,0.972922026,3.17521613,-0.315136031,0.0485355436,299.996,20.7326141,91.9169242,0.754386782,3.59305026,0.719452144,40.134839,11.7749411,2,12,1.52234087,0.304995664,1.77464078,1.17716546,0.0010324525,0.176100597,2.22226418e-06,2.29423297
