row,du,dw,dq,dtheta
du,-0.1411003129974191,0.50026921601160956,-1.9701663292552529,-9.7753513625459885
dw,-0.54730584666786952,-2.9621332857830027,24.60055699126853,-0.782871222992509
dq,0.13286928319886163,-1.6590773667987717,-2.6352831601713893,0
dtheta,0,0,1,0
