group,mode,real,imag,natural_frequency_rad_s,damping_ratio,period_s,time_to_half_s,stable
full,eigenvalue_0,0,0,0,0,0,0,0
full,eigenvalue_1,0,0,0,0,0,0,0
full,eigenvalue_2,0,0,0,0,0,0,0
full,eigenvalue_3,-16.814302390412081,0,16.814302390412081,1,0,0.041223665690418083,1
full,eigenvalue_4,-2.7969376104442336,6.4075010091360936,6.9913467357010379,0.40005705855808599,0.98059841086575683,0.24782361178583948,1
full,eigenvalue_5,-2.7969376104442336,-6.4075010091360936,6.9913467357010379,0.40005705855808599,0.98059841086575683,0.24782361178583948,1
full,eigenvalue_6,-0.61312723189729779,5.0738047621747366,5.1107161696929602,0.11996894594405406,1.238357722003967,1.1305111639145906,1
full,eigenvalue_7,-0.61312723189729779,-5.0738047621747366,5.1107161696929602,0.11996894594405406,1.238357722003967,1.1305111639145906,1
full,eigenvalue_8,-0.072320980655777953,0.50238757543533807,0.50756635053440147,0.14248576679607178,12.506649476223542,9.5843166709682546,1
full,eigenvalue_9,-0.072320980655777953,-0.50238757543533807,0.50756635053440147,0.14248576679607178,12.506649476223542,9.5843166709682546,1
full,eigenvalue_10,0.06645802382921967,0,0.06645802382921967,-1,0,-10.429849409021827,0
full,eigenvalue_11,8.3559846399232369e-12,0,8.3559846399232369e-12,-1,0,-82952184623.249008,0
longitudinal,short_period,-2.7969376136567519,6.4075010070731464,6.9913467350955578,0.40005705905223182,0.9805984111814684,0.2478236115011932,1
longitudinal,short_period,-2.7969376136567519,-6.4075010070731464,6.9913467350955578,0.40005705905223182,0.9805984111814684,0.2478236115011932,1
longitudinal,phugoid,-0.072320765819161359,0.50238750399938237,0.50756624921619775,0.14248537197034222,12.506651254580788,9.5843451422122001,1
longitudinal,phugoid,-0.072320765819161359,-0.50238750399938237,0.50756624921619775,0.14248537197034222,12.506651254580788,9.5843451422122001,1
lateral,roll_subsidence,-16.813642391521544,0,16.813642391521544,1,0,0.041225283874805854,1
lateral,dutch_roll,-0.59850409930789628,5.0708125055736941,5.1060108326922808,0.11721559528935017,1.2390884696038922,1.158132720162641,1
lateral,dutch_roll,-0.59850409930789628,-5.0708125055736941,5.1060108326922808,0.11721559528935017,1.2390884696038922,1.158132720162641,1
lateral,spiral,0.036551336520026928,0,0.036551336520026928,-1,0,-18.963661703045016,0
