integrator,dt_s,global_error,function_evals,wall_clock_s,observed_order
0,0.2,0.00209401171,200,5.00756406e-06,0
0,0.1,0.000114657633,400,1.00757219e-05,4.1908652
0,0.05,6.74737731e-06,800,1.99864344e-05,4.08686176
0,0.025,4.10547499e-07,1600,4.0971975e-05,4.03870579
0,0.0125,2.53447754e-08,3200,8.00924e-05,4.01778886
0,0.00625,1.5747933e-09,6400,0.000159504375,4.00845399
0,0.003125,9.81438836e-11,12800,0.00031773555,4.00412031
